"dsID","region","indID","period","value","is_number","source"
"reliefweb","AFG","RW002",2000,3,1,"ReliefWeb"
"reliefweb","AFG","RW002",2001,4,1,"ReliefWeb"
"reliefweb","AFG","RW002",2002,5,1,"ReliefWeb"
"reliefweb","AFG","RW002",2003,2,1,"ReliefWeb"
"reliefweb","AFG","RW002",2004,3,1,"ReliefWeb"
"reliefweb","AFG","RW002",2005,6,1,"ReliefWeb"
"reliefweb","AFG","RW002",2006,5,1,"ReliefWeb"
"reliefweb","AFG","RW002",2007,3,1,"ReliefWeb"
"reliefweb","AFG","RW002",2008,1,1,"ReliefWeb"
"reliefweb","AFG","RW002",2009,5,1,"ReliefWeb"
"reliefweb","AFG","RW002",2010,4,1,"ReliefWeb"
"reliefweb","AFG","RW002",2011,2,1,"ReliefWeb"
"reliefweb","AFG","RW002",2012,5,1,"ReliefWeb"
"reliefweb","AFG","RW002",2013,3,1,"ReliefWeb"
"reliefweb","BDI","RW002",2000,0,1,"ReliefWeb"
"reliefweb","BDI","RW002",2001,0,1,"ReliefWeb"
"reliefweb","BDI","RW002",2002,0,1,"ReliefWeb"
"reliefweb","BDI","RW002",2003,0,1,"ReliefWeb"
"reliefweb","BDI","RW002",2004,0,1,"ReliefWeb"
"reliefweb","BDI","RW002",2005,1,1,"ReliefWeb"
"reliefweb","BDI","RW002",2006,1,1,"ReliefWeb"
"reliefweb","BDI","RW002",2007,0,1,"ReliefWeb"
"reliefweb","BDI","RW002",2008,1,1,"ReliefWeb"
"reliefweb","BDI","RW002",2009,1,1,"ReliefWeb"
"reliefweb","BDI","RW002",2010,1,1,"ReliefWeb"
"reliefweb","BDI","RW002",2011,2,1,"ReliefWeb"
"reliefweb","BDI","RW002",2012,1,1,"ReliefWeb"
"reliefweb","BDI","RW002",2013,0,1,"ReliefWeb"
"reliefweb","BEN","RW002",2000,0,1,"ReliefWeb"
"reliefweb","BEN","RW002",2001,0,1,"ReliefWeb"
"reliefweb","BEN","RW002",2002,0,1,"ReliefWeb"
"reliefweb","BEN","RW002",2003,0,1,"ReliefWeb"
"reliefweb","BEN","RW002",2004,0,1,"ReliefWeb"
"reliefweb","BEN","RW002",2005,0,1,"ReliefWeb"
"reliefweb","BEN","RW002",2006,0,1,"ReliefWeb"
"reliefweb","BEN","RW002",2007,2,1,"ReliefWeb"
"reliefweb","BEN","RW002",2008,1,1,"ReliefWeb"
"reliefweb","BEN","RW002",2009,3,1,"ReliefWeb"
"reliefweb","BEN","RW002",2010,1,1,"ReliefWeb"
"reliefweb","BEN","RW002",2011,1,1,"ReliefWeb"
"reliefweb","BEN","RW002",2012,3,1,"ReliefWeb"
"reliefweb","BEN","RW002",2013,3,1,"ReliefWeb"
"reliefweb","BFA","RW002",2000,0,1,"ReliefWeb"
"reliefweb","BFA","RW002",2001,0,1,"ReliefWeb"
"reliefweb","BFA","RW002",2002,0,1,"ReliefWeb"
"reliefweb","BFA","RW002",2003,1,1,"ReliefWeb"
"reliefweb","BFA","RW002",2004,0,1,"ReliefWeb"
"reliefweb","BFA","RW002",2005,0,1,"ReliefWeb"
"reliefweb","BFA","RW002",2006,1,1,"ReliefWeb"
"reliefweb","BFA","RW002",2007,2,1,"ReliefWeb"
"reliefweb","BFA","RW002",2008,1,1,"ReliefWeb"
"reliefweb","BFA","RW002",2009,1,1,"ReliefWeb"
"reliefweb","BFA","RW002",2010,0,1,"ReliefWeb"
"reliefweb","BFA","RW002",2011,0,1,"ReliefWeb"
"reliefweb","BFA","RW002",2012,1,1,"ReliefWeb"
"reliefweb","BFA","RW002",2013,1,1,"ReliefWeb"
"reliefweb","BGD","RW002",2000,4,1,"ReliefWeb"
"reliefweb","BGD","RW002",2001,0,1,"ReliefWeb"
"reliefweb","BGD","RW002",2002,4,1,"ReliefWeb"
"reliefweb","BGD","RW002",2003,4,1,"ReliefWeb"
"reliefweb","BGD","RW002",2004,2,1,"ReliefWeb"
"reliefweb","BGD","RW002",2005,3,1,"ReliefWeb"
"reliefweb","BGD","RW002",2006,4,1,"ReliefWeb"
"reliefweb","BGD","RW002",2007,6,1,"ReliefWeb"
"reliefweb","BGD","RW002",2008,2,1,"ReliefWeb"
"reliefweb","BGD","RW002",2009,5,1,"ReliefWeb"
"reliefweb","BGD","RW002",2010,4,1,"ReliefWeb"
"reliefweb","BGD","RW002",2011,3,1,"ReliefWeb"
"reliefweb","BGD","RW002",2012,2,1,"ReliefWeb"
"reliefweb","BGD","RW002",2013,2,1,"ReliefWeb"
"reliefweb","BOL","RW002",2000,1,1,"ReliefWeb"
"reliefweb","BOL","RW002",2001,1,1,"ReliefWeb"
"reliefweb","BOL","RW002",2002,3,1,"ReliefWeb"
"reliefweb","BOL","RW002",2003,2,1,"ReliefWeb"
"reliefweb","BOL","RW002",2004,2,1,"ReliefWeb"
"reliefweb","BOL","RW002",2005,1,1,"ReliefWeb"
"reliefweb","BOL","RW002",2006,1,1,"ReliefWeb"
"reliefweb","BOL","RW002",2007,2,1,"ReliefWeb"
"reliefweb","BOL","RW002",2008,2,1,"ReliefWeb"
"reliefweb","BOL","RW002",2009,2,1,"ReliefWeb"
"reliefweb","BOL","RW002",2010,4,1,"ReliefWeb"
"reliefweb","BOL","RW002",2011,2,1,"ReliefWeb"
"reliefweb","BOL","RW002",2012,2,1,"ReliefWeb"
"reliefweb","BOL","RW002",2013,3,1,"ReliefWeb"
"reliefweb","BWA","RW002",2000,2,1,"ReliefWeb"
"reliefweb","BWA","RW002",2001,1,1,"ReliefWeb"
"reliefweb","BWA","RW002",2002,0,1,"ReliefWeb"
"reliefweb","BWA","RW002",2003,0,1,"ReliefWeb"
"reliefweb","BWA","RW002",2004,0,1,"ReliefWeb"
"reliefweb","BWA","RW002",2005,0,1,"ReliefWeb"
"reliefweb","BWA","RW002",2006,0,1,"ReliefWeb"
"reliefweb","BWA","RW002",2007,0,1,"ReliefWeb"
"reliefweb","BWA","RW002",2008,0,1,"ReliefWeb"
"reliefweb","BWA","RW002",2009,1,1,"ReliefWeb"
"reliefweb","BWA","RW002",2010,0,1,"ReliefWeb"
"reliefweb","BWA","RW002",2011,0,1,"ReliefWeb"
"reliefweb","BWA","RW002",2012,0,1,"ReliefWeb"
"reliefweb","BWA","RW002",2013,1,1,"ReliefWeb"
"reliefweb","CAF","RW002",2000,1,1,"ReliefWeb"
"reliefweb","CAF","RW002",2001,0,1,"ReliefWeb"
"reliefweb","CAF","RW002",2002,0,1,"ReliefWeb"
"reliefweb","CAF","RW002",2003,0,1,"ReliefWeb"
"reliefweb","CAF","RW002",2004,1,1,"ReliefWeb"
"reliefweb","CAF","RW002",2005,1,1,"ReliefWeb"
"reliefweb","CAF","RW002",2006,0,1,"ReliefWeb"
"reliefweb","CAF","RW002",2007,1,1,"ReliefWeb"
"reliefweb","CAF","RW002",2008,0,1,"ReliefWeb"
"reliefweb","CAF","RW002",2009,2,1,"ReliefWeb"
"reliefweb","CAF","RW002",2010,0,1,"ReliefWeb"
"reliefweb","CAF","RW002",2011,3,1,"ReliefWeb"
"reliefweb","CAF","RW002",2012,3,1,"ReliefWeb"
"reliefweb","CAF","RW002",2013,3,1,"ReliefWeb"
"reliefweb","CIV","RW002",2000,0,1,"ReliefWeb"
"reliefweb","CIV","RW002",2001,0,1,"ReliefWeb"
"reliefweb","CIV","RW002",2002,0,1,"ReliefWeb"
"reliefweb","CIV","RW002",2003,0,1,"ReliefWeb"
"reliefweb","CIV","RW002",2004,0,1,"ReliefWeb"
"reliefweb","CIV","RW002",2005,0,1,"ReliefWeb"
"reliefweb","CIV","RW002",2006,1,1,"ReliefWeb"
"reliefweb","CIV","RW002",2007,1,1,"ReliefWeb"
"reliefweb","CIV","RW002",2008,0,1,"ReliefWeb"
"reliefweb","CIV","RW002",2009,2,1,"ReliefWeb"
"reliefweb","CIV","RW002",2010,0,1,"ReliefWeb"
"reliefweb","CIV","RW002",2011,0,1,"ReliefWeb"
"reliefweb","CIV","RW002",2012,0,1,"ReliefWeb"
"reliefweb","CIV","RW002",2013,0,1,"ReliefWeb"
"reliefweb","CMR","RW002",2000,0,1,"ReliefWeb"
"reliefweb","CMR","RW002",2001,0,1,"ReliefWeb"
"reliefweb","CMR","RW002",2002,0,1,"ReliefWeb"
"reliefweb","CMR","RW002",2003,1,1,"ReliefWeb"
"reliefweb","CMR","RW002",2004,0,1,"ReliefWeb"
"reliefweb","CMR","RW002",2005,0,1,"ReliefWeb"
"reliefweb","CMR","RW002",2006,0,1,"ReliefWeb"
"reliefweb","CMR","RW002",2007,1,1,"ReliefWeb"
"reliefweb","CMR","RW002",2008,1,1,"ReliefWeb"
